Department,Semester,Course Code,Course Name,L-T-P-S-C,Faculty
CSE,3,MA261,Differential Equations,2,Dr. Anand Barangi
CSE,3,MA262,Multivariate Calculus,2,Dr. Somen Bhattacharjee
CSE,3,CS261,Operating Systems,3-0-0-4-2,Dr. Suvadip Hazra
CSE,3,CS262,Software design tools and technique,2-0-3-0-3,Dr. Sunil P V/Dr. Vivekraj VK
CSE,3,CS263,Design & Analysis of Algorithms,3-0-0-0-4,Dr. Malay/Dr. Pramod Y
CSE,3,CS264,Computer Networks,3-1-0-0-4,Dr. Prabhu Prasad BM
CSE,3,NEW,HSS (Ethics Values) & Environmental Studies,2+1,Dr. Ganesh MP
CSE,3,NEW,Electronics System Design-I,2,Dr. Pankaj
CSE,3,CS162,Data Science with Python,2,Dr. Abdul Wahid
CSE,3,NEW,2D Computer Graphics,2,Dr. Vivek VK
CSE,3,NEW,Introduction to RFIC Design,2,Dr. Sibasankar Padhy
CSE,3,NEW,Electronic System Engineering,2,Mr. Mallikarjun Kande
